section,n_glyphs,status,connective,n_slots,period,Pi_robust,slot_cv,z_A,p_A,z_B,p_B,Pi_aug,p_B_aug,result
Qv:w06,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Qv:w07,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Ra:w00,104,evaluable,004,6,12.55,0.5533,0.9326,0.3,0.3796,0.03,0.4705,0.6533,0.4785,null
Ra:w01,104,evaluable,004,11,13.0,0.4249,0.8138,0.36,0.3377,0.38,0.3506,0.4249,0.3417,null
Ra:w02,104,evaluable,001,7,12.8,0.6335,1.4091,0.73,0.2368,0.55,0.2957,0.396,0.8511,null
Ra:w03,104,evaluable,001,9,12.9,0.6327,0.8041,1.76,0.0519,1.37,0.0969,0.4852,0.2128,null
Ra:w04,104,evaluable,001,9,12.9,0.6327,0.8041,1.73,0.0539,1.39,0.0999,0.4852,0.2468,null
Rb:w00,104,evaluable,680,6,14.5,0.3544,0.3333,-1.1,0.8561,-1.3,0.8981,0.3544,0.8881,null
Rb:w01,104,evaluable,003,8,11.5,0.7186,0.7602,1.82,0.041,1.93,0.032,0.7228,0.2767,null
Rb:w02,104,evaluable,004,7,13.55,0.3512,1.1174,-1.43,0.9381,-1.37,0.9331,0.3512,0.9381,null
Rb:w03,104,evaluable,004,7,13.55,0.3512,1.1174,-1.46,0.951,-1.47,0.951,0.3512,0.95,null
Sa:w00,104,evaluable,001,9,12.7,0.5507,0.6469,1.07,0.1419,1.19,0.1259,0.3279,0.4296,null
Sa:w01,104,evaluable,001,15,14.25,0.5546,0.7522,2.42,0.013,2.64,0.014,0.5191,0.009,null
Sa:w02,104,evaluable,001,14,14.5,0.3919,0.7147,0.54,0.2927,0.38,0.3407,0.3919,0.3087,null
Sa:w03,104,evaluable,001,9,14.0,0.3731,1.3643,-0.4,0.6474,-0.48,0.6663,0.3731,0.6643,null
Sa:w04,104,evaluable,003,9,12.05,0.248,1.3109,-1.47,0.9331,-1.65,0.953,0.5199,0.5544,null
Sa:w05,104,evaluable,003,8,13.0,0.1374,1.3858,-2.49,1.0,-2.62,1.0,0.1374,0.999,null
Sa:w06,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Sa:w07,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Sb:w00,104,evaluable,006,6,11.5,0.3345,1.1196,-2.04,0.992,-1.89,0.983,0.3345,0.986,null
Sb:w01,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Sb:w02,104,evaluable,055b,6,11.8,0.3928,1.8973,-1.88,0.984,-2.17,0.982,0.3928,0.979,null
Sb:w03,104,evaluable,001,6,12.6,0.2829,0.4207,-2.02,0.988,-2.13,0.993,0.2829,0.993,null
Sb:w04,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Sb:w05,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Sb:w06,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Sb:w07,104,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Ta:w00,104,evaluable,076,18,12.7,0.122,0.5951,-1.93,0.988,-1.68,0.967,0.1524,0.8442,null
Ta:w01,104,evaluable,076,18,14.5,0.3074,0.5918,0.18,0.4076,0.86,0.1798,0.3074,0.1828,null
Ta:w02,104,evaluable,076,11,13.45,0.5499,0.5433,1.53,0.0759,2.04,0.026,0.5499,0.03,null
Ua:w00,55,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Va:w00,28,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Wa:w00,16,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Xa:w00,42,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Ya:w00,24,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Yb:w00,24,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Yc:w00,28,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Ye:w00,12,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
Yf:w00,9,not_evaluable,-,-,-,-,-,-,-,-,-,-,-,NOT EVALUABLE (no candidate connective)
